iter	Passed	Remaining
0	1	163
1	2	145
2	4	138
3	5	131
4	6	127
5	8	125
6	9	124
7	10	121
8	11	120
9	13	119
10	14	117
11	15	116
12	17	116
13	18	114
14	19	112
15	21	110
16	22	108
17	23	107
18	24	105
19	26	104
20	27	103
21	28	102
22	30	101
23	31	100
24	33	99
25	34	98
26	36	97
27	37	95
28	38	94
29	39	92
30	41	91
31	42	89
32	43	87
33	44	86
34	45	84
35	46	82
36	47	81
37	48	79
38	49	78
39	51	76
40	52	75
41	53	73
42	54	72
43	55	70
44	56	68
45	57	67
46	58	66
47	59	64
48	61	63
49	62	62
50	63	61
51	65	60
52	66	59
53	68	58
54	69	56
55	70	55
56	71	54
57	73	52
58	74	51
59	75	50
60	77	49
61	78	48
62	79	46
63	81	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	88	38
70	90	36
71	91	35
72	92	34
73	94	33
74	95	31
75	96	30
76	97	29
77	99	27
78	100	26
79	101	25
80	102	24
81	104	22
82	105	21
83	107	20
84	108	19
85	109	17
86	111	16
87	112	15
88	113	14
89	115	12
90	116	11
91	117	10
92	119	8
93	120	7
94	121	6
95	122	5
96	123	3
97	125	2
98	126	1
99	128	0
