iter	Passed	Remaining
0	158	158365
1	161	80673
2	164	54567
3	167	41613
4	169	33672
5	171	28381
6	173	24592
7	174	21678
8	176	19380
9	177	17541
10	178	16047
11	179	14790
12	180	13737
13	182	12843
14	183	12066
15	186	11440
16	187	10846
17	188	10299
18	189	9809
19	191	9372
20	192	8970
21	193	8605
22	194	8271
23	195	7965
24	196	7681
25	198	7432
26	200	7223
27	202	7012
28	203	6812
29	205	6636
30	206	6461
31	208	6296
32	209	6139
33	210	5994
34	212	5857
35	214	5738
36	215	5618
37	217	5502
38	218	5388
39	220	5281
40	221	5177
41	222	5084
42	224	4995
43	225	4904
44	227	4821
45	229	4759
46	231	4688
47	232	4612
48	233	4537
49	235	4469
50	236	4401
51	237	4333
52	238	4268
53	240	4207
54	241	4153
55	243	4100
56	245	4066
57	247	4012
58	248	3960
59	249	3911
60	250	3863
61	252	3818
62	253	3774
63	255	3731
64	256	3694
65	258	3660
66	259	3619
67	261	3578
68	262	3539
69	263	3502
70	265	3467
71	266	3433
72	267	3401
73	268	3366
74	270	3334
75	272	3312
76	273	3282
77	275	3251
78	276	3222
79	277	3193
80	279	3166
81	280	3139
82	281	3104
83	282	3079
84	283	3053
85	284	3028
86	286	3009
87	288	2987
88	289	2965
89	291	2943
90	292	2921
91	293	2900
92	295	2877
93	296	2854
94	297	2833
95	298	2812
96	300	2793
97	301	2776
98	303	2758
99	304	2739
100	305	2722
101	307	2702
102	308	2684
103	309	2666
104	310	2648
105	311	2631
106	313	2614
107	314	2597
108	315	2582
109	317	2567
110	318	2552
111	319	2535
112	320	2519
113	322	2503
114	323	2487
115	324	2472
116	325	2456
117	326	2443
118	328	2429
119	329	2418
120	393	2854
121	394	2836
122	395	2818
123	396	2801
124	398	2788
125	399	2772
126	400	2753
127	401	2737
128	421	2848
129	423	2832
130	424	2815
131	425	2798
132	426	2781
133	427	2764
134	429	2752
135	430	2737
136	432	2722
137	433	2708
138	434	2694
139	436	2678
140	437	2663
141	437	2645
142	438	2630
143	440	2616
144	441	2602
145	442	2587
146	443	2575
147	445	2562
148	446	2549
149	447	2537
150	449	2527
151	450	2515
152	452	2502
153	453	2490
154	454	2477
155	455	2465
156	456	2453
157	458	2444
158	460	2434
159	461	2423
160	462	2411
161	464	2401
162	465	2391
163	467	2382
164	468	2371
165	469	2361
166	471	2351
167	472	2342
168	474	2334
169	476	2325
170	477	2314
171	478	2305
172	480	2295
173	481	2286
174	482	2276
175	484	2266
176	485	2256
177	486	2247
178	488	2239
179	489	2230
180	490	2220
181	492	2211
182	493	2201
183	494	2192
184	495	2183
185	497	2175
186	498	2166
187	499	2159
188	501	2150
189	502	2144
190	504	2137
191	506	2129
192	507	2122
193	509	2114
194	510	2107
195	512	2100
196	513	2092
197	514	2085
198	515	2076
199	517	2068
200	519	2063
201	520	2055
202	521	2048
203	523	2041
204	524	2034
205	525	2026
206	527	2019
207	528	2011
208	529	2004
209	530	1996
210	532	1989
211	533	1983
212	535	1977
213	536	1970
214	537	1963
215	538	1956
216	540	1949
217	541	1942
218	542	1935
219	544	1928
220	545	1922
221	546	1916
222	548	1910
223	549	1904
224	551	1898
225	552	1891
226	553	1885
227	554	1878
228	556	1872
229	557	1865
230	558	1859
231	559	1853
232	561	1848
233	562	1842
234	564	1837
235	565	1831
236	566	1825
237	568	1819
238	569	1813
239	570	1807
240	571	1801
241	573	1795
242	574	1789
243	575	1784
244	577	1779
245	578	1774
246	580	1768
247	581	1762
248	582	1756
249	583	1751
250	585	1745
251	586	1740
252	587	1735
253	589	1730
254	590	1725
255	591	1719
256	593	1714
257	594	1709
258	595	1704
259	597	1699
260	598	1694
261	599	1689
262	600	1684
263	602	1679
264	603	1673
265	604	1668
266	605	1663
267	607	1658
268	608	1653
269	609	1648
270	611	1643
271	612	1638
272	613	1633
273	614	1628
274	615	1623
275	617	1619
276	618	1614
277	620	1610
278	621	1606
279	623	1602
280	624	1598
281	625	1593
282	627	1589
283	628	1584
284	629	1579
285	630	1574
286	631	1570
287	633	1565
288	634	1561
289	635	1557
290	637	1552
291	638	1548
292	640	1544
293	641	1540
294	642	1535
295	643	1530
296	644	1526
297	646	1522
298	647	1518
299	649	1514
300	650	1510
301	651	1506
302	653	1502
303	654	1498
304	655	1494
305	656	1489
306	658	1485
307	659	1481
308	660	1478
309	662	1474
310	663	1470
311	665	1466
312	666	1463
313	668	1460
314	670	1457
315	671	1453
316	672	1449
317	674	1445
318	675	1441
319	676	1437
320	677	1433
321	679	1430
322	680	1426
323	681	1422
324	683	1420
325	685	1417
326	686	1413
327	688	1410
328	689	1406
329	691	1402
330	692	1398
331	693	1395
332	694	1391
333	695	1387
334	697	1384
335	699	1381
336	700	1378
337	701	1374
338	703	1371
339	704	1367
340	705	1363
341	706	1360
342	708	1356
343	709	1353
344	711	1349
345	712	1346
346	714	1344
347	715	1340
348	716	1336
349	717	1333
350	718	1329
351	720	1325
352	721	1322
353	722	1318
354	724	1315
355	725	1312
356	726	1309
357	728	1306
358	729	1303
359	731	1300
360	732	1296
361	734	1293
362	735	1291
363	737	1287
364	738	1284
365	739	1281
366	741	1278
367	743	1276
368	744	1273
369	745	1269
370	747	1266
371	748	1263
372	749	1260
373	751	1257
374	752	1254
375	754	1251
376	755	1248
377	756	1245
378	758	1242
379	759	1239
380	761	1236
381	762	1233
382	763	1230
383	765	1227
384	766	1224
385	767	1221
386	769	1218
387	770	1215
388	772	1213
389	774	1210
390	775	1207
391	776	1204
392	777	1201
393	779	1198
394	780	1195
395	781	1192
396	783	1189
397	784	1186
398	785	1183
399	787	1180
400	788	1178
401	790	1175
402	791	1172
403	793	1169
404	794	1167
405	795	1164
406	796	1161
407	798	1158
408	799	1155
409	801	1153
410	802	1150
411	804	1147
412	805	1144
413	806	1141
414	807	1138
415	809	1136
416	810	1133
417	812	1130
418	813	1128
419	814	1125
420	816	1122
421	818	1120
422	819	1117
423	820	1114
424	821	1111
425	823	1109
426	824	1106
427	825	1103
428	827	1101
429	828	1098
430	830	1096
431	831	1093
432	833	1091
433	834	1088
434	836	1086
435	837	1083
436	839	1080
437	840	1078
438	841	1075
439	842	1072
440	844	1070
441	845	1067
442	847	1065
443	848	1062
444	849	1059
445	850	1056
446	852	1054
447	853	1051
448	854	1049
449	856	1046
450	857	1044
451	859	1041
452	861	1040
453	862	1037
454	864	1035
455	865	1032
456	867	1030
457	868	1027
458	869	1025
459	871	1022
460	872	1020
461	873	1017
462	875	1014
463	876	1012
464	877	1010
465	879	1007
466	880	1005
467	882	1002
468	883	1000
469	884	997
470	885	994
471	887	992
472	888	989
473	889	987
474	890	984
475	892	982
476	893	979
477	894	977
478	896	974
479	897	972
480	898	969
481	899	966
482	900	964
483	902	961
484	903	959
485	904	956
486	906	954
487	907	952
488	909	950
489	910	947
490	911	945
491	913	942
492	914	940
493	915	937
494	916	935
495	918	932
496	919	930
497	920	927
498	921	925
499	922	922
500	923	920
501	925	917
502	926	915
503	927	912
504	928	910
505	929	907
506	930	905
507	931	902
508	932	899
509	934	897
510	935	895
511	936	892
512	937	890
513	939	887
514	940	885
515	941	882
516	942	880
517	943	878
518	944	875
519	945	873
520	947	870
521	948	868
522	949	865
523	950	863
524	951	860
525	952	858
526	953	856
527	954	853
528	956	851
529	957	849
530	958	846
531	959	844
532	961	842
533	962	839
534	963	837
535	964	834
536	965	832
537	966	830
538	968	827
539	969	825
540	970	823
541	971	821
542	972	818
543	973	816
544	974	813
545	975	811
546	977	809
547	978	806
548	979	804
549	980	802
550	981	800
551	982	797
552	984	795
553	985	793
554	986	790
555	987	788
556	988	786
557	990	784
558	991	782
559	992	779
560	993	777
561	995	775
562	996	773
563	997	771
564	998	768
565	999	766
566	1001	764
567	1002	762
568	1003	759
569	1004	757
570	1005	755
571	1006	753
572	1007	750
573	1008	748
574	1009	746
575	1011	744
576	1012	742
577	1013	740
578	1015	738
579	1016	735
580	1017	733
581	1018	731
582	1019	729
583	1020	726
584	1021	724
585	1022	722
586	1023	720
587	1024	718
588	1026	716
589	1027	713
590	1028	711
591	1029	709
592	1030	707
593	1031	705
594	1032	703
595	1033	700
596	1035	698
597	1036	696
598	1037	694
599	1038	692
600	1039	690
601	1040	688
602	1042	686
603	1043	684
604	1044	682
605	1045	679
606	1047	677
607	1048	675
608	1049	673
609	1050	671
610	1051	669
611	1052	667
612	1053	665
613	1054	663
614	1056	661
615	1057	659
616	1058	657
617	1059	655
618	1060	652
619	1061	650
620	1063	648
621	1064	646
622	1065	644
623	1066	642
624	1067	640
625	1068	638
626	1069	636
627	1070	634
628	1072	632
629	1075	631
630	1077	630
631	1080	629
632	1082	627
633	1085	626
634	1088	625
635	1090	624
636	1093	623
637	1095	621
638	1097	620
639	1099	618
640	1101	616
641	1102	614
642	1104	612
643	1105	611
644	1106	609
645	1107	607
646	1109	605
647	1110	603
648	1111	601
649	1112	599
650	1114	597
651	1115	595
652	1117	593
653	1118	591
654	1119	589
655	1120	587
656	1122	585
657	1123	583
658	1124	582
659	1126	580
660	1127	578
661	1129	576
662	1130	574
663	1132	572
664	1133	571
665	1134	569
666	1136	567
667	1137	565
668	1138	563
669	1139	561
670	1141	559
671	1142	557
672	1144	556
673	1145	554
674	1147	552
675	1148	550
676	1149	548
677	1150	546
678	1152	544
679	1153	542
680	1154	540
681	1156	539
682	1157	537
683	1158	535
684	1160	533
685	1161	531
686	1162	529
687	1164	527
688	1165	526
689	1166	524
690	1168	522
691	1169	520
692	1171	518
693	1172	516
694	1173	514
695	1175	513
696	1176	511
697	1177	509
698	1179	507
699	1180	505
700	1181	504
701	1183	502
702	1184	500
703	1185	498
704	1186	496
705	1187	494
706	1189	493
707	1191	491
708	1192	489
709	1193	487
710	1194	485
711	1196	483
712	1197	481
713	1198	480
714	1199	478
715	1201	476
716	1202	474
717	1203	472
718	1205	471
719	1206	469
720	1208	467
721	1209	465
722	1210	463
723	1212	462
724	1213	460
725	1214	458
726	1216	456
727	1217	454
728	1218	453
729	1220	451
730	1221	449
731	1222	447
732	1223	445
733	1225	444
734	1226	442
735	1227	440
736	1229	438
737	1230	436
738	1231	435
739	1233	433
740	1235	431
741	1236	429
742	1237	428
743	1239	426
744	1240	424
745	1241	422
746	1243	420
747	1244	419
748	1245	417
749	1246	415
750	1247	413
751	1249	412
752	1250	410
753	1251	408
754	1253	406
755	1254	404
756	1255	403
757	1256	401
758	1258	399
759	1259	397
760	1260	395
761	1261	394
762	1262	392
763	1264	390
764	1265	388
765	1266	386
766	1267	385
767	1269	383
768	1270	381
769	1271	379
770	1272	378
771	1273	376
772	1274	374
773	1276	372
774	1277	370
775	1278	368
776	1279	367
777	1281	365
778	1282	363
779	1283	362
780	1284	360
781	1286	358
782	1287	356
783	1288	354
784	1289	353
785	1290	351
786	1291	349
787	1293	347
788	1294	346
789	1295	344
790	1297	342
791	1298	340
792	1299	339
793	1300	337
794	1301	335
795	1302	333
796	1303	332
797	1304	330
798	1305	328
799	1306	326
800	1307	324
801	1309	323
802	1310	321
803	1311	319
804	1313	318
805	1314	316
806	1315	314
807	1316	312
808	1317	311
809	1319	309
810	1320	307
811	1321	305
812	1322	304
813	1324	302
814	1326	301
815	1327	299
816	1329	297
817	1330	295
818	1331	294
819	1332	292
820	1333	290
821	1334	289
822	1335	287
823	1336	285
824	1337	283
825	1339	282
826	1340	280
827	1341	278
828	1342	276
829	1343	275
830	1345	273
831	1346	271
832	1347	270
833	1348	268
834	1349	266
835	1351	265
836	1352	263
837	1353	261
838	1355	260
839	1356	258
840	1357	256
841	1358	254
842	1359	253
843	1361	251
844	1362	249
845	1363	248
846	1364	246
847	1365	244
848	1367	243
849	1368	241
850	1370	239
851	1371	238
852	1372	236
853	1373	234
854	1375	233
855	1376	231
856	1377	229
857	1378	228
858	1379	226
859	1380	224
860	1382	223
861	1383	221
862	1384	219
863	1386	218
864	1387	216
865	1388	214
866	1389	213
867	1390	211
868	1391	209
869	1393	208
870	1394	206
871	1395	204
872	1396	203
873	1397	201
874	1399	199
875	1400	198
876	1401	196
877	1402	194
878	1404	193
879	1405	191
880	1406	190
881	1407	188
882	1409	186
883	1410	185
884	1411	183
885	1413	181
886	1414	180
887	1416	178
888	1417	176
889	1418	175
890	1419	173
891	1420	171
892	1421	170
893	1422	168
894	1424	167
895	1425	165
896	1426	163
897	1428	162
898	1429	160
899	1430	158
900	1432	157
901	1433	155
902	1434	154
903	1435	152
904	1436	150
905	1438	149
906	1439	147
907	1440	145
908	1441	144
909	1443	142
910	1444	141
911	1445	139
912	1446	137
913	1448	136
914	1449	134
915	1450	133
916	1451	131
917	1452	129
918	1453	128
919	1455	126
920	1456	124
921	1457	123
922	1458	121
923	1459	120
924	1461	118
925	1462	116
926	1463	115
927	1464	113
928	1465	112
929	1466	110
930	1467	108
931	1469	107
932	1470	105
933	1471	103
934	1472	102
935	1473	100
936	1475	99
937	1476	97
938	1477	96
939	1478	94
940	1480	92
941	1481	91
942	1482	89
943	1483	88
944	1484	86
945	1485	84
946	1487	83
947	1488	81
948	1490	80
949	1491	78
950	1492	76
951	1493	75
952	1495	73
953	1496	72
954	1497	70
955	1498	68
956	1499	67
957	1500	65
958	1502	64
959	1503	62
960	1504	61
961	1506	59
962	1507	57
963	1508	56
964	1509	54
965	1511	53
966	1512	51
967	1513	50
968	1514	48
969	1515	46
970	1516	45
971	1518	43
972	1519	42
973	1520	40
974	1522	39
975	1523	37
976	1524	35
977	1525	34
978	1526	32
979	1527	31
980	1528	29
981	1529	28
982	1530	26
983	1531	24
984	1532	23
985	1534	21
986	1535	20
987	1536	18
988	1538	17
989	1539	15
990	1540	13
991	1541	12
992	1542	10
993	1543	9
994	1544	7
995	1545	6
996	1546	4
997	1547	3
998	1549	1
999	1550	0
